url,pick,team,year,pos,player,college,missing_combine_vals,height_inches,weight,forty,vertical,bench,broad,threecone,shuttle,defense.ast.tackles,defense.fum.forced,defense.fum.rec,defense.fum.tds,defense.fum.yds,defense.games,defense.int,defense.int.td,defense.int.yards,defense.loss.tackles,defense.pd,defense.sacks,defense.seasons,defense.solo.tackes,defense.tackles,passing.attempts,passing.comp.pct,passing.completions,passing.games,passing.pass.ints,passing.pass.tds,passing.pass.yards,passing.seasons,receiving.games,receiving.rec.td,receiving.rec.yards,receiving.receptions,receiving.rush.att,receiving.rush.td,receiving.rush.yds,receiving.scrim.plays,receiving.scrim.tds,receiving.scrim.yds,receiving.seasons,rushing.games,rushing.rec.td,rushing.rec.yards,rushing.receptions,rushing.rush.att,rushing.rush.td,rushing.rush.yds,rushing.scrim.plays,rushing.scrim.tds,rushing.scrim.yds,rushing.seasons,num_murders,purple.drank.incidents
https://www.sports-reference.com/cfb/players/ronald-bellamy-1.html,300,NA,2003,WR,Ronald Bellamy,Michigan,1,72,208,4.57,30.5,NA,119,7.38,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,9,888,67,15,0,154,82,9,"1,042",4,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ronald-blair-1.html,142,SFO,2016,DE,Ronald Blair,Appalachian State,0,74,284,5.15,30,32,113,7.95,4.53,48,1,2,0,0,25,1,1,30,32,1,13,2,66,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ronald-curry-1.html,235,OAK,2002,QB,Ronald Curry,North Carolina,1,74,220,4.59,35,NA,115,7.06,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,194,345,37,35,28,"4,987",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ronald-darby-1.html,50,BUF,2015,CB,Ronald Darby,Florida State,0,71,193,4.38,41.5,12,129,6.94,4.14,21,2,1,0,0,21,2,0,16,1,16,0,3,57,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ronald-johnson-2.html,182,SFO,2011,WR,Ronald Johnson,Southern California,4,71,199,4.46,NA,16,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,20,"1,750",138,16,0,88,154,20,"1,838",4,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ronald-jones-4.html,NA,NA,2018,RB,Ronald Jones,USC,4,71,205,4.65,36.5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,302,32,591,39,"3,619",623,42,"3,921",3,0,0
https://www.sports-reference.com/cfb/players/ronald-leary-1.html,300,NA,2012,OG,Ronald Leary,Memphis,0,75,315,5.23,29,30,104,7.87,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ronald-powell-1.html,169,NOR,2014,OLB,Ronald Powell,Florida,2,75,237,4.65,35.5,21,114,NA,NA,26,1,0,0,0,35,0,0,0,19,2,11,3,53,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/rondell-mealey-1.html,252,GNB,2000,RB,Rondell Mealey,LSU,1,72,212,4.69,33,NA,120,6.89,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,302,33,453,29,"2,238",486,33,"2,540",4,0,0
https://www.sports-reference.com/cfb/players/ronnell-lewis-1.html,125,DET,2012,OLB,Ronnell Lewis,Oklahoma,0,74,253,4.65,31,36,112,7.09,4.4,51,2,0,0,0,34,2,1,23,21,1,10,3,67,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
